text,label,title
scientists have implanted a false memory in the brains of mice in an experiment that they hope will shed light on the welldocumented phenomenon whereby people remember events or experiences that have never happened false memories are a major problem with witness statements in courts of law defendants have often been convicted of offences based on eyewitness testimony only to have their convictions later overturned when dna or some other corroborating evidence is brought to bear in order to study how these false memories might form in the human brain susumu tonagawa a neuroscientist at the massachusetts institute of technology mit and his team encoded memories in the brains of mice by manipulating individual neurons memories of experiences we have had are made from several elements including records of objects space and time these records called engrams are encoded in physical and chemical changes in brain cells and the connections between them according to tonagawa both false and genuinememories seem to rely on the same brain mechanisms in their work tonagawas team used a technique known as optogenetics which allows the fine control of individual brain cells they engineered brain cells in the mouse hippocampus a part of the brain known to be involved in forming memories to express the gene for a protein called channelrhodopsin when cells that contain channelrhodopsin are exposed to blue light they become activated the researchers also modified the hippocampus cells so that the channelrhodopsin protein would be produced in whichever brain cells the mouse was using to encode its memory engrams in the experiment tonagawas team placed the mice in a chamber and allowed them to explore it as they did so relevant memoryencoding brain cells were producing the channelrhodopsin protein the next day the same mice were placed in a second chamber and given a small electric shock to encode a fear response at the same time the researchers shone light into the mouse brains to activate their memories of the first chamber that way the mice learned to associate fear of the electric shock with the memory of the first chamber in the final part of the experiment the team placed the mice back in the first chamber the mice froze demonstrating a typical fear response even though they had never been shocked while there we call this incepting or implanting false memories in a mouse brain tonagawa told science a similar process may occur when powerful false memories are created in humans humans are very imaginative animals said tonagawa independent of what is happening around you in the outside world humans constantly have internal activity in the brain so just like our mouse it is quite possible we can associate what we happen to have in our mind with bad or good highvariance ongoing events in other words there could be a false association of what you have in your mind rather than what is happening to you he added our study showed that the false memory and the genuine memory are based on very similar almost identical brain mechanisms it is difficult for the false memory bearer to distinguish between them we hope our future findings along this line will further alert legislatures and legal experts to how unreliable memory can be chris french head of the anomalistic psychology research unit at goldsmiths university of london is a leading researcher in false memories in people he said that the latest results were an important first step in understanding their neural basis memory researchers have always recognized that memory does not as is often assumed work like a video camera faithfully recording all of the details of anything we experience instead it is a reconstructive process which involves building a specific memory from fragments of real memory traces of the original event but also possibly including information from other sources he cautioned that the false memories created in the mice in the experiments were far simpler than the complex false memories that have generated controversy within psychology and psychiatry for example false memories of childhood sexual abuse or even memories for bizarre ritualized satanic abuse abduction by aliens or past lives such rich false memories will clearly involve many brain systems and we are still a long way from understanding the processes involved in their formation at the neuronal level said professor french mark stokes a neuroscientist at oxford university said the experiments were a tour de force but that it was important to put them into perspective although the results seem to imply that new memories were formed by the artificial stimulation rather than the actual environment this kind of phenomenon is still a long way from most peoples idea of memory he said rather he said it was equivalent to implanting an association that perhaps someone cannot place but that makes them wary of a specific environment for no apparent reason it is unlikely that this kind of pairing could lead to the rich set of associations related to normal memories although it is possible that over time such pairing could be integrated with other memories to construct a more elaborate false narrative the mouse models created by the mit team will help scientists ask ever more complex questions about memories in people now that we can reactivate and change the contents of memories in the brain we can begin asking questions that were once the realm of philosophy said steve ramirez a colleague of tonagawas at mit are there multiple conditions that lead to the formation of false memories can false memories be artificially created what about false memories for more than just contexts false memories for objects food or other mice these are the once seemingly scifi questions that can now be experimentally tackled in the lab as the technology develops said french scientists need to think about its uses carefully whatever means are used to implant false memories we need to be very aware of the ethical issues raised by such procedures the potential for abuse of such techniques cannot be overstated n,adv,False memory
scientists have put a false memory in the brains of mice in an experiment they hopethe results of the experiment will help to explain why people remember things that never happenedn false memories are sometimes a problem with eyewitness statements in courts of lawn eyewitnesses often give evidence that leads to guilty verdicts but later those verdicts may be changed when dna or some other evidence is usedn susumu tonagawa a scientist at the massachusetts institute of technology mit and his team wanted to study how these false memories form in the human brain they put memories in the brains of mice by changing individual neuronsn in the experiment tonagawas team put the mice in a box and allowed them to explore itn as they explored it their brain cells created a memory the next day they put the same mice in a second box and gave them a small electric shock this scared the mice at the same time the researchers shone light into the mouse brains to bring back their memories of the first box that way the mice associated fear of the electric shock with the memory of the first boxn in the final part of the experiment the team put the mice back in the first box the mice froze because they were scared however they had not received the shock in the first box and had no reason to be afraidn a similar thing may happen when powerful false memories are created in humans humans are very imaginative animals said tonagawa so just like our mouse it is quite possible we can associate what we have in our mind with bad or good events in other words there could be a false association of what you have in your mind rather than what is happening to youn he added our study showed that the false memory and the real memory use very similar almost identical brain mechanisms it is difficult to tell the difference between them we hope our future experiments will show legal experts how unreliable memory can ben chris french of the university of london is a researcher in false memories in people he said that the results of the experiments were an important first step in understanding false memories he added that memory researchers have always known that memory does not work like a video camera recording all the details of anything we experience instead we build a memory from small pieces of memory of the event as well as information from other placesn he warned that the false memories created in the mice in the experiments were far simpler than the complex false memories people have such as false memories of childhood sexual abuse abduction by aliens or past lives these complex false memories involve many parts of the brain french says that it will be a long time before we understand how our brains make these memoriesn the mouse models created by the mit team will help scientists ask more complex questions about memories in people now that we can change the contents of memories in the brain we can begin asking questions that used to be philosophical questions said steve ramirez who works with tonagawa at mit can we create false memories what about false memories for more than just places false memories for objects food or other mice these used to be scifi questions but we can now research them in the labn,ele,False memory
scientists have implanted a false memory in the brains of mice in an experiment that they hope will help to explain why people remember events or experiences that have never happenedn false memories are a major problem with witness statements in courts of law evidence that eyewitnesses give often leads to guilty verdicts but later the convictions are overturned when dna or some other evidence is usedn susumu tonagawa a neuroscientist at the massachusetts institute of technology mit and his team wanted to study how these false memories might form in the human brain so they encoded memories in the brains of mice by manipulating individual neurons memories of experiences we have had are made from several elements including records of objects space and time these records are encoded in physical and chemical changes in brain cells and the connections between them according to tonagawa both false and genuine memories seem to use the same brain mechanismsn in the experiment tonagawas team put the mice in a box and allowed them to explore it as they did so their brain cells were producing a memory protein the next day the same mice were put in a second box and given a small electric shock to encode a fear response at the same time the researchers shone light into the mouse brains to activate their memories of the first box that way the mice learned to associate fear of the electric shock with the memory of the first boxn in the final part of the experiment the team put the mice back in the first box the mice froze showing a typical fear response even though they had never been shocked in that boxn a similar process may happen when powerful false memories are created in humans humans are very imaginative animals said tonagawa so just like our mouse it is quite possible we can associate what we happen to have in our mind with bad or good events in other words there could be a false association of what you have in your mind rather than what is happening to youn he added our study showed that the false memory and the genuine memory are based on very similar almost identical brain mechanisms it is difficult for the person with false memories to distinguish between them we hope our future findings along this line will show legal experts how unreliable memory can ben chris french of the university of london is a leading researcher in false memories in people he said that the latest results were an important first step in understanding them memory researchers have always recognized that memory does not work like a video camera recording all the details of anything we experience instead it is a reconstructive process which involves building a specific memory from fragments of real memory traces of the original event but also possibly including information from other sourcesn he warned that the false memories created in the mice in the experiments were far simpler than the complex false memories that have caused controversy within psychology and psychiatry for example false memories of childhood sexual abuse abduction by aliens or past lives such rich false memories will clearly involve many brain systems and we are still a long way from understanding the processes involved in their formation at the neuronal level he saidn mark stokes a neuroscientist at oxford university said the experiments were a great achievement but that it was important to put them into perspective although the results seem to show that new memories were formed by the artificial stimulation rather than the actual environment this kind of phenomenon is still a long way from most peoples idea of memory he saidn the mouse models created by the mit team will help scientists ask more and more complex questions about memories in people now that we can change the contents of memories in the brain we can begin asking questions that were once the realm of philosophy said steve ramirez a colleague of tonagawas at mit are there multiple conditions that lead to the formation of false memories can false memories be artificially created what about false memories for more than just contexts false memories for objects food or other mice these are the seemingly scifi questions that can now be experimentally tackled in the labn as the technology develops said french scientists need to think about its uses carefully in whatever way we implant false memories we need to be very aware of the ethical issues raised by such procedures the potential for abuse of such techniques cannot be overstatedn n,in,False memory
sir alex ferguson will retire as manchester united manager at the end of the season in the th year of a tenure that has made him the most successful manager in british football while he will become a united director and ambassador the club will now have to find someone to replace a man who has won english premier league titles two champions leagues the cup winners cup five fa cups and four league cups regarding his decision ferguson said the decision to retire is one that i have thought a great deal about and one that i have not taken lightly it is the right time it was important to me to leave an organization in the strongest possible shape and i believe i have done so the quality of this leaguewinning squad and the balance of ages within it bodes well for continued success at the highest level whilst the structure of the youth setup will ensure that the longterm future of the club remains a bright one our training facilities are amongst the finest in global sport and our home old trafford is rightfully regarded as one of the leading venues in the world going forward i am delighted to take on the roles of both director and ambassador for the club with these activities along with my many other interests i am looking forward to the future i must pay tribute to my family their love and support has been essential my wife cathy has been the key figure throughout my career providing a bedrock of both stability and encouragement words are not enough to express what this has meant to me as for my players and staff past and present i would like to thank them all for a staggering level of professional conduct and dedication that has helped to deliver so many memorable triumphs without their contribution the history of this great club would not be as rich in my early years the backing of the board and sir bobby charlton in particular gave me the confidence and time to build a football club rather than just a football team over the past decade the glazer family have provided me with the platform to manage manchester united to the best of my ability and i have been extremely fortunate to have worked with a talented and trustworthy chief executive in david gill i am truly grateful to all of them to the fans thank you the support you have provided over the years has been truly humbling it has been an honour and an enormous privilege to have had the opportunity to lead your club and i have treasured my time as manager of manchester united the sudden nature of fergusons departure is in keeping with how the scot stated he would leave the post after he mentioned a first retirement during the season before performing a uturn it is understood he gathered the players in the firstteam changing room shortly after they arrived for training on wednesday morning in an emotional speech he announced he was to step down he then took his backroom staff aside before finally addressing the rest of the staff in the canteen joel glazer joint owner of manchester united said alex has proven time and time again what a fantastic manager he is but hes also a wonderful person his determination to succeed and dedication to the club have been truly remarkable i will always cherish the wonderful memories he has given us like that magical night in moscow avie glazer his brother said i am delighted to announce that alex has agreed to stay with the club as a director his contributions to manchester united over the last years have been extraordinary and like all united fans i want him to be a part of its future david gill the outgoing chief executive said ive had the tremendous pleasure of working very closely with alex for unforgettable years through the treble the double countless trophy wins and numerous signings we knew that his retirement would come one day and we both have been planning for it by ensuring the quality of the squad and club structures are in firstclass condition alexs vision energy and ability have built teams both on and off the pitch that his successor can count on as among the best and most loyal in world sport the way he cares for this club his staff and for the football family in general is something that i admire it is a side to him that is often hidden from public view but it is something that i have been privileged to witness in the last years what he has done for this club and for the game in general will never be forgotten it has been the greatest experience of my working life being alongside alex and a great honour to be able to call him a friend firstteam coach ren meulensteen revealed how ferguson broke the news to his backroom staff on wednesday morning i found out this morning when i came to the club he said he called us into his office and told us what decision he had taken its always been on the cards theres speculation every season i think the manager kept his cards close to his chest i think he felt the time was right now and he made a decision hes obviously a man who thinks very very hard so im sure hes put a lot of thought into making this decision i wish him well hes been fantastic for this club and i hope all the fans give whoevers going to come in the same support that he gets,adv,Ferguson
the manchester united manager sir alex ferguson will retire at the end of the season after years he will become a director of the club he is the most successful manager in british football he has won premier league titles two champions leagues the cup winners cup five fa cups and four league cups the decision to retire is one that i have thought a lot about ferguson said it is the right time it was important to me to leave an organization in the strongest possible condition and i believe i have done so he said that he thinks the quality of the team will bring continued success at the highest level they also have lots of good young players so ferguson thinks the club has a very good future our training facilities are some of the best in world sport he added our stadium old trafford is one of the most important venues in the world i am delighted to become both director and ambassador for the club i am looking forward to the future he also thanked his family for their love and support i would like to thank all my players and staff past and present for an incredible level of professionalism and hard work that has helped to bring so many memorable triumphs without them the history of this great club would not be as rich in my early years the support of the board of directors gave me the confidence and time to build a football club not just a football team over the past ten years the owners of the club have made it possible for me to manage manchester united to the best of my ability i have been very lucky to work with david gill a talented and trustworthy chief executive i am grateful to all of them he also thanked the fans for their support and said he had really enjoyed his time as manager of manchester united joel glazer one of the owners of manchester united said alex has shown us so often what a fantastic manager he is but hes also a wonderful person his determination to succeed and his hard work for the club have been remarkable i will never forget the wonderful memories he has given us like that magical night in moscow avie glazer his brother said i am very happy to tell you that alex has agreed to stay with the club as a director his contributions to manchester united over the last years have been extraordinary and like all united fans i want him to be a part of its future david gill added ive had the great pleasure of working very closely with alex for unforgettable years we knew that his retirement would come one day and we both have been planning for it alexs vision energy and ability have built teams that are some of the best and most loyal in world sport the way he cares for this club his staff and for the football family in general is something that i admire we will never forget what he has done for this club and for the game in general working with alex has been the greatest experience of my working life and it is a great honour to be able to call him a friend firstteam coach ren meulensteen told everyone how ferguson told his staff the news i found out this morning when i came to the club he said he asked us to go into his office and told us his decision im sure he thought hard about it i wish him well for the future hes been fantastic for this club and i hope all the fans give the new manager the same support,ele,Ferguson
the manchester united manager sir alex ferguson will retire at the end of the season after years as the most successful manager in british football he will become a director of the club and someone will have to replace a man who has won english premier league titles two champions leagues the cup winners cup five fa cups and four league cupsn talking about his decision ferguson said the decision to retire is one that i have thought a great deal about it is the right time it was important to me to leave an organization in the strongest possible condition and i believe i have done so the quality of this squad and the balance of ages within it bodes well for continued success at the highest level the structure of the youth setup will ensure that the longterm future of the club remains a bright onen our training facilities are amongst the best in world sport and our home old trafford is regarded as one of the leading venues in the world i am delighted to take on the roles of both director and ambassador for the club with these activities along with my many other interests i am looking forward to the future i must pay tribute to my family their love and support has been essentialn as for my players and staff past and present i would like to thank them all for a staggering level of professional conduct and dedication that has helped to deliver so many memorable triumphs without their contribution the history of this great club would not be as rich in my early years the support of the board of directors gave me the confidence and time to build a football club not just a football teamn over the past ten years the glazer family have made it possible for me to manage manchester united to the best of my ability and i have been extremely fortunate to have worked with a talented and trustworthy chief executive david gill i am truly grateful to all of them to the fans thank you it has been an honour and an enormous privilege to have had the opportunity to lead your club and i have treasured my time as manager of manchester unitedn the suddenness of fergusons departure is exactly how he said he would leave the job he first mentioned the possibility of retiring during the season but then performed a uturn it is understood that he gathered the players in the firstteam changing room shortly after they arrived for training in an emotional speech he announced he was retiringn joel glazer joint owner of manchester united said alex has proven time and time again what a fantastic manager he is but hes also a wonderful person his determination to succeed and dedication to the club have been truly remarkable i will never forget the wonderful memories he has given us like that magical night in moscown avie glazer his brother said i am delighted to announce that alex has agreed to stay with the club as a director his contributions to manchester united over the last years have been extraordinary and like all united fans i want him to be a part of its futuren david gill added ive had the tremendous pleasure of working very closely with alex for unforgettable years we have had countless wins and numerous signings we knew that his retirement would come one day and we both have been planning for it by ensuring the quality of the team and club structures are in firstclass condition alexs vision energy and ability have built teams that are among the best and most loyal in world sportn the way he cares for this club his staff and for the football family in general is something that i admire what he has done for this club and for the game in general will never be forgotten it has been the greatest experience of my working life being with alex and a great honour to be able to call him a friendn firstteam coach ren meulensteen revealed how ferguson broke the news to his backroom staff i found out this morning when i came to the club he said he called us into his office and told us his decision hes obviously a man who thinks very very hard so im sure hes put a lot of thought into making this decision i wish him well hes been fantastic for this club and i hope all the fans give the new manager the same support that he getsn n,in,Ferguson
not nearly enough exercise classes have a tea break halfway through but margaret allens does after a gentle warmup and a few pulseraising numbers the yearold greatgrandmother lets her charges rehydrate with a cup of tea and a quick sit down some of the eightstrong class look as if they need it more than others allen herself wearing a thick turquoise shirt navy knitted waistcoat black slacks and sensible shoes has not broken into a sweat despite an excruciating trapped nerve in one leg and a knee in need of replacement she looks as though she could go on for hours the general rule is that eating directly before sport is not the best idea let alone part way through but on the afternoon i visit allens class at a church hall in saltburnbythesea near middlesbrough slices of fruitcake are being passed around during the break the cake has been baked in honour of allens recent birthday by her yearold sister joan known locally as the scone queen of saltburn the ladies have barely swallowed their last crumb when allen is up again leading the group through a jaunty scottish number involving lots of toe pointing and leg kicking fortyfive minutes later the class is finally over allen a former volunteer with the red cross has been leading classes in the northeast seaside town for years not particularly sporty at school she started playing the piano for a keepfit class during the second world war just for something to do during the blackouts really and eventually took over in her s when the previous instructor retired at its peak allens class had more than regulars each paying a time but these days her flock is diminishing fast during the teabreak the ladies discuss a funeral that most of them had attended that week for one of the younger members of the group who had just died aged from motor neurone disease allen is the oldest followed by her sister the baby of the group is yearold jean cunion who credits the group with supporting her through a difficult time when her mother died she is somewhat embarrassed to admit that she is perhaps the least fit of the group i remember the first time i came margaret said whos that huffing and panting and i had to admit it was me ruth steere marvels at how allen never misses a trick despite always having her back to the class she always shouts at us if we go wrong shes remarkably good at knowing what we are doing allen a keen dancer has never done any formal training to be a fitness instructor instead she choreographs her own moves based on five tapes from the bbcs first ever fitness guru eileen fowler who died in when she was allens age now allen thinks her good health is largely down to keeping busy especially since her husband joe died in she took up writing poetry when she was i write poems about everything im a prolific writer i just cant stop she says phoning me a few days after the interview to read out a ditty she has written about the joys of exercise one of the class yearold former teacher winnie robertson thinks the secret to staying fit is never letting yourself go use it or lose it thats what i say allen still plays the piano and gives speeches she is president of the womens fellowship at the local methodist church and is one of three plus year olds at the scrabble club of the university of the third age she did a computer course when she was and tried to get online but it didnt work out ageing is no fun she admits reading me a few lines from a poem she has written called that beast called age she happily recalls a doctor who saw her for the first time a few years back who said she couldnt possibly be more than i said thank you doctor you can go now she also has a nononsense attitude to weight gain i just think people shouldnt eat too much whenever i hear someone saying oh i cant lose weight i say sellotape she mimes taping her mouth shut i said this just the other day to a big fat man everything in moderation is my motto earlier in allen was watching the news and saw a woman being given the british empire medal i think she means margaret chartwood from horley who was given the honour in january at the age of she was saying im and im the oldest fitness instructor in the country i was thinking no youre not but i shant be writing to buckingham palacen,adv,Fitness
not many exercise classes have a tea break in the middle but margaret allens class has one after a gentle warmup and a few quick exercises the yearold greatgrandmother lets her group sit down and relax with a cup of tea some of the eight people in the class look like they need a break but allen is not even sweating the general rule is that eating just before doing sport is not a good idea and especially not halfway through the class but on the afternoon i visit allens class in saltburnbythesea they eat fruitcake during the break the cake was made for allens recent birthday by her yearold sister joan the ladies have just finished their cake when allen gets up again she plays a lively scottish song and there is lots of toe pointing and leg kicking fortyfive minutes later the class is finally over allen has been leading classes in the northeast town for years she wasnt very sporty at school but she started playing the piano for a keepfit class during the second world war and started leading the class in her s when the old instructor retired at one time allens class had more than regulars each paying a time but these days the group is getting smaller during the tea break the ladies discuss a funeral that most of them went to that week for one of the younger people in the group who died recently aged allen who loves dancing has never done any formal training to be a fitness instructor instead she got ideas for her own moves from five fitness videos from the bbc allen thinks she is healthy because she keeps busy especially since her husband died in she started writing poetry when she was allen is the oldest her sister the second oldest the baby of the group is yearold jean cunion who is a bit embarrassed to say that she is perhaps the least fit of the group i remember the first time i came margaret said whos that breathing heavily and i had to say it was me ruth steere says allen always has her back to the class but she always knows whats happening she always shouts at us if we go wrong shes very good at knowing what we are doing i write poems about everything i just cant stop she says when she phones me a few days after the interview to read out a poem she has written about the joys of exercise she still plays the piano and gives speeches she also did a computer course when she was ageing is no fun she says she reads me a few lines from a poem she has written called that beast called age she happily remembers a doctor who saw her for the first time a few years ago who said he didnt believe she was more than i said thank you doctor you can go now she also has a practical idea for people who are overweight i just think people shouldnt eat too much when i hear someone say oh i cant lose weight i say sellotape she mimes taping her mouth shut i said this the other day to a big fat man everything in moderation is my motto earlier in allen was watching the news and saw a woman get the british empire medal the woman said im and im the oldest fitness instructor in the country i thought no youre not but allen wont write to the queen to complain,ele,Fitness
not many exercise classes have a tea break halfway through but margaret allens does after a gentle warmup and a few quick exercises the yearold greatgrandmother lets her group relax with a cup of tea and a quick restn some of the class of eight look as if they need to rest more than others allen herself wearing a thick shirt knitted waistcoat slacks and sensible shoes is not even sweating despite an extremely painful trapped nerve in one leg and a knee in need of replacement she looks like she could go on for hoursn the general rule is that eating just before doing sport is not a good idea and especially not halfway through the class but on the afternoon i visit allens class in saltburnbythesea near middlesbrough slices of fruitcake are being passed around during the break the cake has been baked to celebrate allens recent birthday by her yearold sister joann the ladies have just finished their cake when allen is up again leading the group through a lively scottish tune with lots of toe pointing and leg kicking fortyfive minutes later the class is finally overn allen a former volunteer with the charity red cross has been leading classes in the northeast town for years she wasnt particularly sporty at school but she started playing the piano for a keepfit class during the second world war and eventually took over in her s when the previous instructor retiredn at one time allens class had more than regulars each paying a time but these days the group is getting smaller during the tea break the ladies discuss a funeral that most of them had attended that week for one of the younger members of the group who had just died aged allen is the oldest followed by her sister the baby of the group is yearold jean cunion who is a bit embarrassed to admit that she is perhaps the least fit of the group i remember the first time i came margaret said whos that huffing and panting and i had to admit it was me ruth steere says allen always knows whats going on although her back is always to the class she always shouts at us if we go wrong shes remarkably good at knowing what we are doingn allen a keen dancer has never done any formal training to be a fitness instructor instead she choreographs her own moves based on five tapes from the bbcs first ever fitness guru eileen fowler allen thinks her good health is largely a result of keeping busy especially since her husband died in she started writing poetry when she was i write poems about everything im a prolific writer i just cant stop she says when she phones me a few days after the interview to read out a poem she has written about the joys of exercise one of the class yearold former teacher winnie robertson thinks the secret to staying fit is never letting yourself go use it or lose it thats what i sayn allen still plays the piano and gives speeches she did a computer course when she was ageing is no fun she admits reading me a few lines from a poem she has written called that beast called age she happily remembers a doctor who saw her for the first time a few years ago who said she couldnt possibly be more than i said thank you doctor you can go nown she also has a nononsense attitude to weight gain i just think people shouldnt eat too much whenever i hear someone saying oh i cant lose weight i say sellotape she mimes taping her mouth shut i said this just the other day to a big fat man everything in moderation is my motton earlier in allen was watching the news and saw a woman being given the british empire medal she was saying im and im the oldest fitness instructor in the country i was thinking no youre not but i shant be writing to buckingham palacen n,in,Fitness
leading water scientists have issued one of the sternest warnings yet about global food supplies saying that the worlds population may have to switch almost completely to a vegetarian diet by to avoid catastrophic shortages humans derive about of their protein from animalbased products now but this may need to drop to just to feed the extra two billion people expected to be alive by according to research by some of the worlds leading water scientists there will not be enough water available on current croplands to produce food for the expected ninebillion population in if we follow current trends and changes towards diets common in western nations the report by malik falkenmark and colleagues at the stockholm international water institute siwi said there will be just enough water if the proportion of animalbased foods is limited to of total calories and considerable regional water deficits can be met by a reliable system of food trade dire warnings of water scarcity limiting food production come as oxfam and the un prepare for a possible second global food crisis in five years prices for staples such as corn and wheat have risen nearly on international markets since june triggered by severe droughts in the us and russia and weak monsoon rains in asia more than million people are already facing serious food shortages across the sahel oxfam has forecast that the price spike will have a devastating impact in developing countries that rely heavily on food imports including parts of latin america north africa and the middle east food shortages in led to civil unrest in countries adopting a vegetarian diet is one option to increase the amount of water available to grow more food in an increasingly climateerratic world the scientists said animal proteinrich food consumes five to ten times more water than a vegetarian diet one third of the worlds arable land is used to grow crops to feed animals other options to feed people include eliminating waste and increasing trade between countries in food surplus and those in deficit nine hundred million people already go hungry and two billion people are malnourished in spite of the fact that percapita food production continues to increase they said with of all available water being in agriculture growing more food to feed an additional two billion people by will place greater pressure on available water and land the report is being released at the start of the annual world water conference in stockholm sweden where politicians un bodies nongovernmental groups and researchers from countries meet to address global water supply problems competition for water between food production and other uses will intensify pressure on essential resources the scientists said the un predicts that we must increase food production by by midcentury this will place additional pressure on our already stressed water resources at a time when we also need to allocate more water to satisfy global energy demand which is expected to rise by over the coming years and to generate electricity for the billion people currently without it said the report overeating undernourishment and waste are all on the rise and increased food production may face future constraints from water scarcity we will need a new recipe to feed the world in the future said the reports editor anders jgerskog a separate report from the international water management institute iwmi said the best way for countries to protect millions of farmers from food insecurity in subsaharan africa and south asia was to help them invest in small pumps and simple technology rather than to develop expensive largescale irrigation projects weve witnessed again and again what happens to the worlds poor the majority of whom depend on agriculture for their livelihoods and already suffer from water scarcity when they are at the mercy of our fragile global food system said dr colin chartres the director general farmers across the developing world are increasingly relying on and benefiting from smallscale locallyrelevant water solutions these techniques could increase yields up to and add tens of billions of us dollars to household revenues across subsaharan africa and south asian,adv,Food shortages
